"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","LTM Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Total Debt","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"8×8","EGHT","$2.02","$275,000,000","Jun 2025","$181,360,000","$725,440,000","$718,284,000","1.80%","0.38","136,138,614","1996","1987","Chi-Shin Wang, Y.W. Sing","","$5,760,000","$23,040,000","2.18%","3.18%","-$4,320,000","-$17,280,000","58.07%","-2.38%","$81,320,000","-37.82%","$410,262,000.00","N/A","N/A","1942","$373,600","Communication solutions, including cloud-based voice, video, chat, and contact center services","","","http://www.8×8.com","http://8×8.gcs-web.com","","https://www.sec.gov/Archives/edgar/data/1023731/000102373124000042/eght-20240331.htm"
"Adobe","ADBE","$352.73","$149,628,000,000","May 2025","$5,870,000,000","$23,480,000,000","$22,037,000,000","10.62%","6.37","424,199,813","1986","1982","John Warnock, Charles Geschke","San Jose, California, United States","$2,320,000,000","$9,280,000,000","10.43%","39.52%","$1,690,000,000","$6,760,000,000","7.50%","28.79%","$5,710,000,000","-29.16%","$6,056,000,000.00","Sequoia Capital","$2.5 million","30709","$764,600","Applications for graphic design, video editing, web development, and document management.","","","http://www.adobe.com","http://www.adobe.com/investor-relations","","https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm"
"Agilysys","AGYS","$107.60","$3,017,000,000","Jun 2025","$76,680,000","$306,720,000","$288,787,000","20.73%","9.84","28,039,033","1983","1963","Arthur Rhein, William R. Loomis","Alpharetta, Georgia, United States","$7,040,000","$28,160,000","-4.92%","9.18%","$4,890,000","$19,560,000","-65.33%","6.38%","$55,560,000","-61.44%","$46,962,000.00","BlackRock, Vanguard Group","N/A","2200","$139,400","Hospitality management solutions, including point-of-sale, property management, and inventory management systems.","","","http://www.agilysys.com","http://www.agilysys.com/en/investor-relations/","","https://www.sec.gov/Archives/edgar/data/78749/000095017024063222/agys-20240331.htm"
"Akamai","AKAM","$76.38","$10,952,000,000","Jun 2025","$1,040,000,000","$4,160,000,000","$4,083,251,000","6.52%","2.63","143,388,322","1999","1998","Tom Leighton, Daniel Lewin","Cambridge, Massachusetts, United States","$293,130,000","$1,172,520,000","9.54%","28.19%","$103,620,000","$414,480,000","-21.32%","9.96%","$966,620,000","-40.96%","$4,634,605,000.00","Battery Ventures, Polaris Venture Partners","$8.3 million","10811","$384,800","Enterprise content delivery network (CDN) services, helping businesses deliver online content quickly and securely.","","","http://www.akamai.com","http://www.ir.akamai.com","","https://www.sec.gov/Archives/edgar/data/1086222/000108622224000040/akam-20231231.htm"
"Alight","ALIT","$3.44","$1,855,000,000","Jun 2025","$528,000,000","$2,112,000,000","$2,311,000,000","-1.86%","0.88","539,244,186","2021","2019","Stephan Scholl","Chicago, Illinois, United States","$109,000,000","$436,000,000","67.69%","20.64%","-$1,070,000,000","-$4,280,000,000","-4765.22%","-202.65%","$227,000,000","24.04%","$2,156,000,000.00","Blackstone Group, Hellman & Friedman","$11.5 million","9500","$222,300","Platform for human resources, payroll, and financial operations.","","","http://www.alight.com","http://investor.alight.com","https://www.sec.gov/Archives/edgar/data/1809104/000110465920058905/tm2015214-3_s1.htm","https://www.sec.gov/Archives/edgar/data/1809104/000095017024022978/alit-20231231.htm"
"Alkami Technology","ALKT","$25.69","$2,674,000,000","Jun 2025","$112,060,000","$448,240,000","$385,456,000","36.39%","5.97","104,087,193","2021","2009","Stephen Bohanon","Plano, Texas, United States","-$12,490,000","-$49,960,000","-5.35%","-11.15%","-$13,590,000","-$54,360,000","-10.34%","-12.13%","$87,110,000","-0.32%","$18,452,000.00","General Atlantic, D1 Capital Partners","$225 million","938","$477,900","Digital banking platform that offers personalized banking experiences and advanced features for financial institutions.","","","http://www.alkami.com","http://investors.alkami.com","https://www.sec.gov/Archives/edgar/data/1529274/000119312521076443/d70489ds1.htm","https://www.sec.gov/Archives/edgar/data/1529274/000152927424000029/alk-20231231.htm"
"Amplitude","AMPL","$11.05","$1,464,000,000","Jun 2025","$83,270,000","$333,080,000","$316,571,000","13.60%","4.40","132,488,688","2021","2012","Spenser Skates, Curtis Liu, Jeffrey Wang","San Francisco, California, United States","-$24,720,000","-$98,880,000","4.36%","-29.69%","-$24,670,000","-$98,680,000","-5.35%","-29.63%","$208,080,000","-34.63%","$5,584,000.00","Benchmark Capital, IVP (Institutional Venture Partners)","$186 million","800","$416,400","Platform for the measurement, storage, and analysis of user behavior in apps and on websites.","","","http://www.amplitude.com","http://investors.amplitude.com","https://www.sec.gov/Archives/edgar/data/1866692/000119312521260696/d143868ds1.htm","https://www.sec.gov/Archives/edgar/data/1866692/000095017024017102/ampl-20231231.htm"
"AppFolio","APPF","$276.26","$9,905,000,000","Jun 2025","$235,580,000","$942,320,000","$862,674,000","19.35%","10.51","35,853,906","2015","2006","Brian Donahoo, Klaus Schauser, Jonathan Walker","Santa Barbara, California, United States","$46,360,000","$185,440,000","13.92%","19.68%","$35,980,000","$143,920,000","21.29%","15.27%","$127,570,000","-54.66%","$41,749,000.00","N/A","$30 million","1634","$576,700","Property management solutions, including online rent payments, maintenance requests, and tenant screening.","","","http://www.appfolio.com","http://ir.appfolioinc.com","https://www.sec.gov/Archives/edgar/data/1433195/000119312515191809/d907976ds1.htm","https://www.sec.gov/Archives/edgar/data/1433195/000143319524000023/appf-20231231.htm"
"Appian","APPN","$30.97","$2,293,000,000","Jun 2025","$170,640,000","$682,560,000","$657,803,000","16.52%","3.36","74,039,393","2017","1999","Matt Calkins, Michael Beckley, and Bob Kramer","McLean, Virginia, United States","-$8,460,000","-$33,840,000","75.98%","-4.96%","-$312,000","-$1,248,000","99.28%","-0.18%","$184,750,000","23.89%","$314,991,000.00","New Enterprise Associates (NEA), Novak Biddle Venture Partners, Kinetic Ventures","$196 million","2033","$335,700","Low-code development platform that enables businesses to build and deploy enterprise applications.","","","http://www.appian.com","http://investors.appian.com","https://www.sec.gov/Archives/edgar/data/1441683/000119312517143330/d363139ds1.htm","https://www.sec.gov/Archives/edgar/data/1441683/000144168324000016/appn-20231231.htm"
"AppLovin","APP","$603.80","$204,235,000,000","Jun 2025","$1,260,000,000","$5,040,000,000","$5,313,789,000","77.04%","40.52","338,249,420","2021","2012","Adam Foroughi, Andrew Karam","Palo Alto, California, United States","$1,010,000,000","$4,040,000,000","104.65%","80.16%","$819,530,000","$3,278,120,000","164.39%","65.04%","$1,190,000,000","159.01%","$3,556,405,000.00","KKR, Orient Hontai Capital","$2 billion","1548","$3,255,800","Mobile advertising platform geared towards app developers to optimize their app listings and targeted ads.","","","http://www.applovin.com","http://investors.applovin.com","https://www.sec.gov/Archives/edgar/data/1751008/000119312521065782/d73804ds1.htm","https://www.sec.gov/Archives/edgar/data/1751008/000175100824000012/app-20231231.htm"
